date,value
01.07.2005,"100,18"
01.08.2005,"100,29"
01.09.2005,"100,44"
01.10.2005,"100,51"
01.11.2005,"100,51"
01.12.2005,"100,48"
01.01.2006,"100,46"
01.02.2006,"100,51"
01.03.2006,"100,59"
01.04.2006,"100,65"
01.05.2006,"100,62"
01.06.2006,"100,59"
01.07.2006,"100,59"
01.08.2006,"100,57"
01.09.2006,"100,53"
01.10.2006,"100,52"
01.11.2006,"100,54"
01.12.2006,"100,6"
01.01.2007,"100,63"
01.02.2007,"100,68"
01.03.2007,"100,74"
01.04.2007,"100,79"
01.05.2007,"100,81"
01.06.2007,"100,79"
01.07.2007,"100,69"
01.08.2007,"100,57"
01.09.2007,"100,47"
01.10.2007,"100,41"
01.11.2007,"100,36"
01.12.2007,"100,28"
01.01.2008,"100,22"
01.02.2008,"100,11"
01.03.2008,"100,04"
01.04.2008,"99,97"
01.05.2008,"99,91"
01.06.2008,"99,83"
01.07.2008,"99,64"
01.08.2008,"99,25"
01.09.2008,"98,57"
01.10.2008,"97,74"
01.11.2008,"97,01"
01.12.2008,"96,5"
01.01.2009,"96,28"
01.02.2009,"96,22"
01.03.2009,"96,38"
01.04.2009,"96,78"
01.05.2009,"97,26"
01.06.2009,"97,73"
01.07.2009,"98,2"
01.08.2009,"98,61"
01.09.2009,"98,89"
01.10.2009,"99,14"
01.11.2009,"99,36"
01.12.2009,"99,62"
01.01.2010,"99,92"
01.02.2010,"100,18"
01.03.2010,"100,41"
01.04.2010,"100,51"
01.05.2010,"100,48"
01.06.2010,"100,41"
01.07.2010,"100,4"
01.08.2010,"100,45"
01.09.2010,"100,53"
01.10.2010,"100,69"
01.11.2010,"100,88"
01.12.2010,"101,1"
01.01.2011,"101,28"
01.02.2011,"101,36"
01.03.2011,"101,28"
01.04.2011,"101,05"
01.05.2011,"100,71"
01.06.2011,"100,45"
01.07.2011,"100,22"
01.08.2011,"100,09"
01.09.2011,"99,99"
01.10.2011,"99,92"
01.11.2011,"99,91"
01.12.2011,"99,95"
01.01.2012,"100,02"
01.02.2012,"100,06"
01.03.2012,"100,08"
01.04.2012,"100,02"
01.05.2012,"99,84"
01.06.2012,"99,66"
01.07.2012,"99,55"
01.08.2012,"99,5"
01.09.2012,"99,49"
01.10.2012,"99,48"
01.11.2012,"99,49"
01.12.2012,"99,58"
01.01.2013,"99,69"
01.02.2013,"99,73"
01.03.2013,"99,68"
01.04.2013,"99,62"
01.05.2013,"99,66"
01.06.2013,"99,82"
01.07.2013,"100,04"
01.08.2013,"100,25"
01.09.2013,"100,4"
01.10.2013,"100,49"
01.11.2013,"100,53"
01.12.2013,"100,47"
01.01.2014,"100,37"
01.02.2014,"100,36"
01.03.2014,"100,4"
01.04.2014,"100,46"
01.05.2014,"100,5"
01.06.2014,"100,51"
01.07.2014,"100,54"
01.08.2014,"100,57"
01.09.2014,"100,57"
01.10.2014,"100,59"
01.11.2014,"100,56"
01.12.2014,"100,44"
01.01.2015,"100,3"
01.02.2015,"100,16"
01.03.2015,"99,99"
