month,year,monthly_revenue
2005-07-01,2005.0,3596.999999999999
2005-08-01,2005.0,3600.999999999999
2005-09-01,2005.0,3644.999999999999
2005-10-01,2005.0,3639.999999999999
2005-11-01,2005.0,3635.0
2005-12-01,2005.0,3655.999999999998
2006-01-01,2006.0,3667.999999999999
2006-02-01,2006.0,3678.999999999999
2006-03-01,2006.0,3673.9999999999986
2006-04-01,2006.0,3650.0
2006-05-01,2006.0,3609.0000000000005
2006-06-01,2006.0,3627.0
2006-07-01,2006.0,3636.9999999999986
2006-08-01,2006.0,3638.0000000000045
2006-09-01,2006.0,3680.000000000001
2006-10-01,2006.0,3652.999999999998
2006-11-01,2006.0,3669.0
2006-12-01,2006.0,3659.0000000000014
2007-01-01,2007.0,3675.9999999999936
2007-02-01,2007.0,3695.0
2007-03-01,2007.0,3681.000000000001
2007-04-01,2007.0,3653.000000000002
2007-05-01,2007.0,3630.0
2007-06-01,2007.0,3641.0
2007-07-01,2007.0,3670.0000000000023
2007-08-01,2007.0,3673.000000000001
2007-09-01,2007.0,3739.999999999998
2007-10-01,2007.0,3702.000000000003
2007-11-01,2007.0,3706.000000000002
2007-12-01,2007.0,3695.999999999996
2008-01-01,2008.0,3703.0
2008-02-01,2008.0,3703.9999999999995
2008-03-01,2008.0,3706.0
2008-04-01,2008.0,3679.0000000000045
2008-05-01,2008.0,3653.9999999999977
2008-06-01,2008.0,3658.0
2008-07-01,2008.0,3686.000000000004
2008-08-01,2008.0,3678.0
2008-09-01,2008.0,3761.0
2008-10-01,2008.0,3692.0
2008-11-01,2008.0,3690.0000000000005
2008-12-01,2008.0,3657.0
2009-01-01,2009.0,3616.0
2009-02-01,2009.0,3622.0000000000005
2009-03-01,2009.0,3625.0
2009-04-01,2009.0,3573.000000000001
2009-05-01,2009.0,3555.999999999998
2009-06-01,2009.0,3564.999999999999
2009-07-01,2009.0,3619.999999999996
2009-08-01,2009.0,3619.9999999999995
2009-09-01,2009.0,3716.0
2009-10-01,2009.0,3655.000000000004
2009-11-01,2009.0,3710.9999999999986
2009-12-01,2009.0,3712.0000000000023
2010-01-01,2010.0,3693.0
2010-02-01,2010.0,3740.0000000000045
2010-03-01,2010.0,3754.000000000001
2010-04-01,2010.0,3721.0
2010-05-01,2010.0,3714.000000000002
2010-06-01,2010.0,3739.999999999999
2010-07-01,2010.0,3759.0
2010-08-01,2010.0,3756.9999999999995
2010-09-01,2010.0,3841.9999999999936
2010-10-01,2010.0,3762.0
2010-11-01,2010.0,3818.999999999997
2010-12-01,2010.0,3795.999999999996
2011-01-01,2011.0,3797.0
2011-02-01,2011.0,3835.0000000000023
2011-03-01,2011.0,3851.0000000000014
2011-04-01,2011.0,3780.999999999999
2011-05-01,2011.0,3767.0
2011-06-01,2011.0,3803.0
2011-07-01,2011.0,3823.999999999996
2011-08-01,2011.0,3799.9999999999955
2011-09-01,2011.0,3882.999999999997
2011-10-01,2011.0,3798.0
2011-11-01,2011.0,3845.000000000001
2011-12-01,2011.0,3809.0000000000073
2012-01-01,2012.0,3800.0
2012-02-01,2012.0,3832.0000000000055
2012-03-01,2012.0,3848.9999999999977
2012-04-01,2012.0,3772.0000000000005
2012-05-01,2012.0,3774.0000000000005
2012-06-01,2012.0,3810.0
2012-07-01,2012.0,3828.9999999999955
2012-08-01,2012.0,3808.0
2012-09-01,2012.0,3884.0000000000036
2012-10-01,2012.0,3813.000000000001
2012-11-01,2012.0,3860.999999999996
2012-12-01,2012.0,3841.0
2013-01-01,2013.0,3809.0
2013-02-01,2013.0,3848.0000000000045
2013-03-01,2013.0,3860.0
2013-04-01,2013.0,3795.9999999999995
2013-05-01,2013.0,3798.000000000001
2013-06-01,2013.0,3829.0000000000005
2013-07-01,2013.0,3849.9999999999977
2013-08-01,2013.0,3850.000000000003
2013-09-01,2013.0,3938.0
2013-10-01,2013.0,3876.0
2013-11-01,2013.0,3924.000000000002
2013-12-01,2013.0,3917.0000000000036
2014-01-01,2014.0,3865.000000000004
2014-02-01,2014.0,3930.0
2014-03-01,2014.0,3910.999999999999
2014-04-01,2014.0,3839.000000000003
2014-05-01,2014.0,3830.9999999999995
2014-06-01,2014.0,3875.9999999999964
2014-07-01,2014.0,3895.0
2014-08-01,2014.0,3884.000000000006
2014-09-01,2014.0,3975.0
2014-10-01,2014.0,3925.0000000000005
2014-11-01,2014.0,3973.0000000000027
2014-12-01,2014.0,3947.999999999999
2015-01-01,2015.0,3881.999999999999
2015-02-01,2015.0,3965.999999999999
2015-03-01,2015.0,3923.0000000000023
